"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"diplosoma","diplosome",,,,,,"diplozom",,,,,,,,
"disjunctum","disjunctum",,"Discontinuous ",,,,"disjunct",,"discontinuu",,,,,,
"dispersum","dispersed ",,,,,,"dispersată",,,,,,,,
"dispersum","dispersed",,,,,,"difuz",,"dispersat",,,,,,
"dissecans","dissecting ",,,,,,"disecant",,,,,,,,
"distale","distal",,,,,,"distal",,,,,,,,
"distalis","distal",,,,,,"distal",,,,,,,,
"divisionis","division ",,,,,,"de diviziune",,"al diviziunii",,,,,,
"dna","dna",,,,,,"adn",,,,,,,,
"dominantiae","dominance",,,,,,"dominanță",,,,,,,,
"dopaminergicum","dopaminergic",,,,,,"dopaminergică",,,,,,,,
"ductulus","ductule",,,,,,"ductul",,"canalicul",,,,,,
"ductus","duct",,,,,,"duct",,,,,,,,
"dura","dura",,,,,,"dura",,,,,,,,
"durae","dura",,"dura",,,,"dural",,,,,,,,
"duri","hard",,,,,,"dur",,,,,,,,
"dyneini","dynein",,,,,,"de dineină","r","dineinic",,,,,,
"dyneinum","dyneinum",,,,,,"dineină","r",,,,,,,
"dysfibrosa","dysfibrous",,,,,,"disfibros","r",,,,,,,
"dystroglycanum","dystroglycan",,,,,,"distroglican",,,,,,,,
"dystrophinum","dystrophin",,,,,,"distrofină",,,,,,,,
"e","e",,,,,,"e",,,,,,,,
"ec","ec",,,,,,"ec",,,,,,,,
"ecl","ecl",,,,,,"ecl",,,,,,,,
"ectodontium","ectodontium",,,,,,"ectodonțiu","r",,,,,,,
"ectoplasma","ectoplasm",,,,,,"ectoplasmă",,,,,,,,
"effecta","mediated ","*","effects",,,,"mediată","rp","efectuată",,,,,,
"effector","effector",,,,,,"efector",,,,,,,,
"efficiens","effector",,,,,,"efectoare",,,,,,,,
"efficientes","efficientes",,,,,,"efectoare",,,,,,,,
"elastica","elastic",,,,,,"elastică",,,,,,,,
"elasticum","elastic",,,,,,"elastică",,,,,,,,
"elastotypica","elastotypica",,,,,,"elastică",,"elastotipică",,,,,,
"elauninae","elaunin",,,,,,"de elaunină","r",,,,,,,
"elementaris","elementary ",,,,,,"elementară",,,,,,,,
"elementum","subunit",,"element",,,,"element",,"subunitate",,,,,,
"ellipsoid","ellipsoid",,,,,,"elipsoid",,,,,,,,
"embryonica","embryonic",,,,,,"embrionar",,,,,,,,
"emilinum","emilin",,,,,,"emilină","r",,,,,,,
"enamelea","enamel",,,,,,"de smalț",,"emailate",,,,,,
"enameleum","enamel",,,,,,"smălțuit",,,,,,,,
"enameli","enamel",,"of enamel",,,,"smalț",,"email",,,,,,
"enameloblasti","ameloblast ",,"Enameloblast",,,,"emailoblast","rp","enameloblast","r","ameloblast","r",,,
"enameloblastus","ameloblast ",,"Enameloblast",,,,"emailoblast","rp","enameloblast","r","ameloblast","r",,,
"endocardiacum","endocardiac ",,,,,,"endocardiac ",,,,,,,,
"endocervicalis","endocervical ",,,,,,"endocervical",,,,,,,,
"endochondrale","endochondral",,,,,,"endocondral",,,,,,,,
"endochondralis","endochondral",,,,,,"endocondral",,,,,,,,
"Endocranium","endocranium",,,,,,"endocraniu",,,,,,,,
"endocrina","endocrine",,,,,,"endocrină",,,,,,,,
"endocrina","endocrine",,,,,,"endocrină",,,,,,,,
"endocrinocyti","endocrine cells",,,,,,"celule endocrine",,,,,,,,
"endocrinocytorum","endocrine cell",,,,,,"al endocrinocitului",,"al celulei endocrine",,,,,,
"endocrinae","endocrine",,,,,,"endocrine",,,,,,,,
"endocrinocytus","endocrinocyte",,"Endocrine cell",,,,"endocrinocit",,"celulă endocrină",,,,,,
"endocrinum","endocrine",,,,,,"endocrin",,,,,,,,
"endocytosis","endocytosis",,,,,,"endocitoză",,,,,,,,
"endodontium","endodontium",,,,,,"endodonțiu",,,,,,,,
"endolysosoma","endolysosome",,,,,,"endolizozom",,,,,,,,
"endometriale","endometrial",,,,,,"endometrial",,,,,,,,
"endometrii","of endometrium",,,,,,"al endometrului",,,,,,,,
"endomitosis","endomitosis",,,,,,"endomitoză",,,,,,,,
"endoplasma","endoplasm",,,,,,"endoplasmă",,,,,,,,
"endoplasmicum","endoplasmic ",,,,,,"endoplasmic ",,,,,,,,
"endosoma","endosome",,,,,,"endozom",,,,,,,,
"endotendo","endotendon",,,,,,"endotendon",,,,,,,,
"endothelialis","endothelial ",,,,,,"endotelial",,,,,,,,
"endothelio","endothelium",,,,,,"endoteliu",,,,,,,,
"endotheliocyti","endothelial ",,,,,,"endotelocitică",,,,,,,,
"endotheliocytica","endothelial ",,,,,,"endotelocitică",,,,,,,,
"endotheliocytus","endothelial cell",,,,,,"endotelocit","r","celulă endotelială",,,,,,
"endothelium","endothelium",,,,,,"endoteliu",,,,,,,,
"enterica","enteric",,,,,,"enterică",,,,,,,,
"entericum","enteric",,,,,,"enteric",,,,,,,,
"enterocytus","enterocyte",,,,,,"enterocit",,,,,,,,
"enthesis","enthesis",,,,,,"enteză",,,,,,,,
"entorhinalis","entorhinal",,,,,,"entorinal",,,,,,,,
"enzymata","enzymes",,,,,,"enzime",,,,,,,,
"eosinophilos","eosinophils",,,,,,"eozinofile",,,,,,,,
"eosinophilum","eosinophilic",,,,,,"eozinofilică",,,,,,,,
"eosinophilus","eosinophil",,,,,,"eozinofil",,,,,,,,
"ependymocytus","ependymal cell",,,,,,"ependimocit",,"celulă ependimală",,,,,,
"epidermalis","epidermal",,,,,,"epidermală",,,,,,,,
"epididymidis","epididymidis",,,,,,"epididim",,,,,,,,
"epinephrocytus","epinephrocyte",,,,,,"epinefrocit",,,,,,,,
"epiplexalis","epiplexus",,,,,,"epiplexală","r",,,,,,,
"epitendo","epitendon",,,,,,"epitendon",,,,,,,,
"epithalamica","epithalamic",,,,,,"epitalamică",,,,,,,,
"epitheliale","epithelial",,,,,,"epitelială",,,,,,,,
"epithelialis","epithelial",,,,,,"epitelial",,,,,,,,
"epithelii","of epithelium",,,,,,"al epiteliului",,,,,,,,
"epitheliocyti","of epithelial cell",,,,,,"epitelocitar","r","al epitelocitului",,,,,,
"epitheliocytus","epithelial cell",,,,,,"epitelocit","r","celulă epitelială",,,,,,
"epithelium","epithelium",,,,,,"epiteliu",,,,,,,,
"epitheloidea","epithelioid",,,,,,"epiteloidă",,,,,,,,
"equationalis","equational",,,,,,"ecuațională","r",,,,,,,
"equatoriale","equatorial",,,,,,"ecuatorială",,,,,,,,
"equatorialis","equatorial",,,,,,"ecuatorial",,,,,,,,
"erosionis","erosion",,,,,,"de eroziune",,,,,,,,
"erythroblastica","erythroblastic",,,,,,"eritroblastică",,,,,,,,
"erythroblastus","erythroblast",,,,,,"eritroblast",,,,,,,,
"erythrocyti","erythrocyte",,"of erythrocyte","*",,,"eritrocitar",,"al eritrocitului",,,,,,
"erythrocytopoiesis","erythrocytopoiesis",,,,,,"eritrocitopoieză",,,,,,,,
"erythrocytorum","erythrocyte",,"of erythrocyte","*",,,"eritrocitar",,"al eritrocitului",,,,,,
"erythrocytus","erythrocyte",,"Red blood cell",,,,"eritrocit",,"hematie",,"celulă roșie sangvină",,,,
"erythroideas","erythroid",,,,,,"eritrocitare",,,,,,,,
"euchromatica","euchromatic",,,,,,"eucromatică",,,,,,,,
"euchromatinum","euchromatin",,,,,,"eucromatină",,,,,,,,
"eumoleculare","eumolecular",,,,,,"eumolecular",,,,,,,,
"euploidia","euploidy",,,,,,"euploidie",,,,,,,,
"excitatoria","excitatory",,,,,,"excitatorie",,,,,,,,
"exocervicalis","exocervical ",,,,,,"exocervicală",,,,,,,,
"exocrina","exocrine",,,,,,"exocrină",,,,,,,,
"exocrinocytus","exocrine cell",,,,,,"exocrinocit",,"celulă exocrină",,,,,,
"exocrinus","exocrine",,,,,,"exocrină",,,,,,,,
"exocytosis","exocytosis",,,,,,"exocitoză",,,,,,,,
"exosoma","exosome",,,,,,"exozom",,,,,,,,
"extracellulare","extracellular",,,,,,"extracelular",,,,,,,,
"fasciolus","ribbon",,,,,,"fasciol","r","panglică",,"bandă",,,,
"extracellularis","extracellular",,,,,,"extracelular",,,,,,,,
"extraepithelialis","extraepithelial",,,,,,"extraepitelial",,,,,,,,
"extrafusalis","extrafusal",,,,,,"extrafusal",,,,,,,,
"extraglomerularis","extraglomerular",,,,,,"extraglomerular",,,,,,,,
"extralobularis","extralobular",,,,,,"extralobular",,,,,,,,
"extramedullaris","extramedullar",,,,,,"extramedular",,,,,,,,
"extraparenchymatica","extraparenchymatic",,,,,,"extraparenchimatic",,,,,,,,
"fabrica","unit",,,,,,"unitate",,,,,,,,
"factor","factor",,,,,,"factor",,,,,,,,
"fasciculata","fasciculata",,"fasciculate","*",,,"fasciculată",,,,,,,,
"fasciculatus","bundle",,"fasciculate","*",,,"fasciculat",,,,,,,,
"fellea","fellea",,,,,,"fellea",,,,,,,,
"fenestrata","fenestrated ",,,,,,"fenestrată",,,,,,,,
"fenestratum","fenestrated ",,,,,,"fenestrat",,,,,,,,
"fenestratus","fenestrated ",,,,,,"fenestrată",,,,,,,,
"ferritini","ferritin",,,,,,"de feritină",,,,,,,,
"fetalis","fetal",,,,,,"fetală",,,,,,,,
"fibrilla","fibril",,,,,,"fibrilă",,,,,,,,
"fibrillare","fibrillar",,,,,,"fibrilar",,,,,,,,
"fibrillaris","fibrillaris",,,,,,"fibrilar",,,,,,,,
"fibrillini","fibrillin",,,,,,"fibrilară","rp",,,,,,,
"fibroblastus","fibroblast",,,,,,"fibroblast",,,,,,,,
"fibrocartilaginea","fibrocartilaginous ",,,,,,"fibrocartilaginoasă",,,,,,,,
"fibrocytus","fibrocyte",,,,,,"fibrocit",,"celulă fibrocitară",,,,,,
"fibromyoelasticum","fibromyoelastic","*","Myoelastic",,"Fibromuscular",,"fibromioelastică",,,,,,,,
"fibroreticularis","fibroreticular",,,,,,"fibroreticulară",,,,,,,,
"fibrotypica","trabecular type",,,,,,"fibroasă",,"trabeculară",,,,,,
"fibrotypicum","fibrous",,,,,,"fibros",,,,,,,,
"fibrovascularis","fibrovascular",,,,,,"fibrovascular",,,,,,,,
"filamento","filament",,,,,,"filamentului",,,,,,,,
"filamentosa","filament",,"Filamentous","*",,,"filamentoasă",,,,,,,,
"filamentosum","filamentous",,,,,,"filamentos",,,,,,,,
"filamentum","filament",,,,,,"filament",,,,,,,,
"filensini","filensin",,,,,,"filensinic","r","de filensină",,,,,,
"filiale","daughter",,,,,,"fiu",,,,,,,,
"filopodium","filopodium",,"Filiform process",,,,"filopod",,"proces filiform",,,,,,
"firmans","anchoring ",,"ferm","*",,,"ferm",,,,,,,,
"flagelli","flagellar",,,,,,"flagelar",,,,,,,,
"flagellum","flagellum",,,,,,"flagel",,,,,,,,
"flosculus","rosette",,,,,,"rozată","rp",,,,,,,
"fluorescens","fluorescent",,,,,,"fluorescentă",,,,,,,,
"focalis","focal",,,,,,"focală",,"focal",,,,,,
"foliata","foliate",,,,,,"foliată",,,,,,,,
"folliculare","follicular",,,,,,"foliculară",,,,,,,,
"follicularis","follicular",,,,,,"foliculară",,,,,,,,
"folliculocytus","follicular cell",,"folliculocyte","*",,,"foliculocit","r","celulă foliculară",,,,,,
"folliculogenesis","folliculogenesis",,,,,,"foliculogeneză",,,,,,,,
"folliculostellata","folliculostellate",,,,,,"foliculostelată",,,,,,,,
"forma","ordered",,"form","*",,,"formă",,,,,,,,
"formantes","forming ",,,,,,"formatoare",,,,,,,,
"fracta","fractured",,,,,,"fracturată",,,,,,,,
"fragmentum","debris",,,,,,"fragmente",,,,,,,,
"fugitiva","fugitive",,,,,,"fugitivă",,,,,,,,
"functionale","functional",,,,,,"functional",,,,,,,,
"fundamentalis","fundamental",,,,,,"fundamental",,,,,,,,
"fundatoria","founder",,,,,,"fondatoare",,,,,,,,
"funiculare","funicular",,,,,,"funicular",,,,,,,,
"fusalis","spindle",,,,,,"fusal",,,,,,,,
"fusi","spindle",,,,,,"fusal",,"al fusului",,,,,,
"fusiforme","fusiform",,"Spindle",,,,"fusiformă",,,,,,,,
"fusocellularis","fusocellular ",,,,,,"fusocelular",,,,,,,,
"fustiformis","club",,,,,,"în treflă",,,,,,,,
"fusus","spindle",,,,,,"fus",,,,,,,,
"gabaergicum","gabaergic",,,,,,"gabaergică",,,,,,,,
"galactocytus","epithelial cell of mammary gland",,"galactocyte","*",,,"galactocit","r","celulă epitelială a glandei mamare",,,,,,
"galearis","cap",,,,,,"capișon",,,,,,,,
"gametocytus","gametocyte",,,,,,"gametocit",,"celulă gametocitară",,,,,,
"gametus","gamete",,,,,,"gamet",,,,,,,,
"gamma","gamma",,,,,,"gamma",,,,,,,,
"ganglionare","ganglion",,,,,,"ganglionar",,,,,,,,
"gastris","gastric ",,,,,,"gastrică",,,,,,,,
"gastroenteropancreatici","gastroenteropancreatic ",,,,,,"gastroenteropancreatice",,,,,,,,
"gastroenteropancreaticus","gastroenteropancreatic ",,,,,,"gastroenteropancreatică",,,,,,,,
"gastroinstestinalis","gastroinstestinal",,,,,,"gastroinstestinal",,,,,,,,
"gelatinosum","gelatinous",,,,,,"gelatinos",,,,,,,,
"gemmalis","bud",,,,,,"mugure",,,,,,,,
"gemmula","spine",,,,,,"spină",,,,,,,,
"gemmulae","spine",,,,,,"spinal",,"al spinei",,,,,,
"gemmularis","spine",,,,,,"spinal",,"al spinei",,,,,,
"generans","producing ",,,,,,"producătoare de",,,,,,,,
"genum","gene",,,,,,"genă",,,,,,,,
"germen","germ",,,,,,"germene",,,,,,,,
"germinalis","germ ",,,,,,"germinativă",,,,,,,,
"germinativa","germinal",,,,,,"germinativă",,,,,,,,
"germinativum","germinal",,,,,,"germinativ",,,,,,,,
"gerontoxonum","gerontoxon",,,,,,"gerontoxon",,,,,,,,
"gestatoria","gestatory",,,,,,"gestativă","r",,,,,,,
"ghrelinum","ghrelin",,,,,,"de ghrelină",,,,,,,,
"gigans","giant",,,,,,"mare",,"gigant",,,,,,
"gigantea","giant",,,,,,"gigantică",,,,,,,,
"giganteum","giant",,,,,,"mare",,"gigant",,,,,,
"gingivae","gingival",,,,,,"gingivală",,,,,,,,
"gingivale","gingival",,,,,,"gingival",,,,,,,,
"girlandiformis","girlandiform","*",,,,,"ghirlandiform",,,,,,,,
"glandula","gland",,,,,,"glandă",,,,,,,,
"glandulae","glands",,,,,,"glande",,,,,,,,
"gliae","glial",,,,,,"glial",,,,,,,,
"glialis","of glia",,,,,,"glială",,,,,,,,
"gliocyticum","glial",,,,,,"glial","rp",,,,,,,
"gliocyticus","glial",,,,,,"glial",,,,,,,,
"gliocytus ","glial cell",,"gliocyte","*",,,"gliocit","r","celulă glială",,,,,,
"gliofilamentum","glial filament",,,,,,"gliofilament","r","filament glial",,,,,,
"globulare","globular",,,,,,"globulară",,,,,,,,
"globulus","globule","*",,,,,"globul",,,,,,,,
"glomeriformis","glomerular ",,,,,,"glomerulară",,,,,,,,
"glomerulare","glomerular ",,,,,,"glomerulară",,,,,,,,
"glomerularium","glomerular",,,,,,"glomerulară",,,,,,,,
"glomerulosa","glomerulosa",,"Glomerular","*",,,"glomerulară",,,,,,,,
"glomerulosum","glomerular",,,,,,"glomerular",,,,,,,,
"glomerulus","glomerule",,"glomerulus",,,,"glomerul",,,,,,,,
"glomocytus","glomus cell",,"glomocyte","*",,,"glomerulocit","r","celulă glomerulară",,,,,,
"glomus","glomus",,,,,,"glomus",,,,,,,,
"glossopalatina","glossopalatine ",,,,,,"glosopalatină",,,,,,,,
"glucagonocytus","glucagon cell",,,,,,"glucagonocit",,"celulă glucagonică",,,,,,
"glycinergicum","glycinergic ",,,,,,"glicinergică",,,,,,,,
"glycocalyx","glycocalyx",,,,,,"glicocalix",,,,,,,,
"glycogeni","glycogen",,"of glycogen","*",,,"glicogenică",,"de glicogen",,,,,,
"glycogenosa","glycogen rich",,,,,,"glicogenică",,,,,,,,
"glycosaminoglycanum","glycosaminoglycan",,,,,,"glicozaminoglican",,,,,,,,
"golgiensis","golgi",,,,,,"golgian",,,,,,,,
"gonadotropicus","gonadotropic ",,,,,,"gonadotropă",,,,,,,,
"gonocytus","germ cell",,"gonocyte","*",,,"gonocit","*","celulă germinală",,"gamet",,,,
"gonosoma","gonosome",,,,,,"gonozom",,,,,,,,
"granularis","granular ",,,,,,"granular ",,,,,,,,
"granuli","of particle",,,,,,"granulară",,,,,,,,
"granulis","granules","*",,,,,"granule",,,,,,,,
"granulocytopoiesis","granulocytopoiesis",,,,,,"granulocitopoieză",,,,,,,,
"granulocytos","granulocytes",,,,,,"granulocite",,,,,,,,
"granulomerus","granulomere",,,,,,"granulomer",,,,,,,,
"granulosa","granular ",,"granulosa",,,,"granuloasă",,,,,,,,
"granulosi","granule",,,,,,"granuloasă",,,,,,,,
"granulosoluteocytus","granulosa lutein cell",,"granulosoluteocyte","*",,,"granulosoluteocit","r","celulă granuloasă luteală",,,,,,
"granulum","granule",,,,,,"granulă",,,,,,,,
"granum","particle",,,,,,"particulă",,,,,,,,
"graviditatis","of pregnancy",,,,,,"de sarcină",,,,,,,,
"gustatoria","gustatory",,,,,,"gustativ",,,,,,,,
"gutta","inclusion",,"droplet",,,,"incluziune",,"picătură",,,,,,
"guttula","droplet",,,,,,"picătură",,"incluziune",,,,,,
"haemalis","haemal",,,,,,"hematic",,,,,,,,
"haemangioblastus","haemangioblast",,,,,,"hemangioblast",,,,,,,,
"haemangiogenicus","haemangiogenic ",,,,,,"hemangiogenic",,,,,,,,
"haematia","erythrocyte",,"Red blood cell",,,,"hematie",,"eritrocit",,"celulă roșie sangvină",,"celulă roșie hematogenă",,
"haematoidini","haematoidin ",,,,,,"hematoidinică","r","de hematoidină",,,,,,
"haematolymphoideae","haematolymphoid ",,,,,,"hematolimfoide",,,,,,,,
"haematopoiesis","haematopoiesis",,,,,,"hematopoieză",,,,,,,,
"haematopoietica","haematopoietic",,,,,,"hematopoietică",,,,,,,,
"haematotesticulare","blood testis ",,"haematotesticular","*",,,"hematotesticulară",,,,,,,,
"haematothymicum","blood thymus ",,"haematothymic","*",,,"hematotimică",,,,,,,,
"haemocyti","blood cells",,"haemocytes",,,,"hemocite","*","celule sangvine",,,,,,
"haemocytoblastus","haemocytoblast",,,,,,"hemocitoblast","r",,,,,,,
"haemocytopoiesis","haemocytopoiesis",,,,,,"hemocitopoieză",,,,,,,,
"haemocytorum","blood cells",,,,,,"hemocitară","r","celulară sangvină",,,,,,
"haemorrhagicum","haemorrhagic",,,,,,"hemoragic",,,,,,,,
"haemorrhoidalis","haemorrhoidal ",,,,,,"hemoroidal",,,,,,,,
"haemosiderini","haemosiderin ",,,,,,"hemosiderinică",,,,,,,,
"haploidia","haploidy",,,,,,"haploidie",,,,,,,,
"helicina","helicine ",,,,,,"helicină",,,,,,,,
"hematoencephalicum","blood brain ",,"hematoencephalic","*",,,"hematoencefalic",,,,,,,,
"hematoliquorosum","blood cerebrospinal fluid",,,,,,"sânge-lichid cefalorahidian",,,,,,,,
"hemidesmosoma","hemidesmosome",,,,,,"hemidesmozom",,,,,,,,
"hepaticum","hepatic",,,,,,"hepatic",,,,,,,,
"hepatocytica","hepatocyte",,,,,,"hepatocitică",,,,,,,,
"hepatocytus","hepatocyte",,,,,,"hepatocit",,"celulă hepatocitară",,,,,,
"heterochromatica","heterochromatic ",,,,,,"heterocromatică",,,,,,,,
"heterochromatinum","heterochromatin",,,,,,"heterocromatină",,,,,,,,
"heterogena","heterogenous ",,,,,,"heterogenă",,,,,,,,
"heterolysosoma","heterolysosome",,,,,,"heterolizozom",,,,,,,,
"heterophagolysosoma","heterophagolysosome",,,,,,"heterofagolizozom",,,,,,,,
"heterophagosoma","heterophagosome",,,,,,"heterofagozom",,,,,,,,
"heterosoma","heterosome",,,,,,"heterozom",,,,,,,,
"hili","hilus",,,,,,"hilară",,,,,,,,
"holocortex","holocortex",,,,,,"holocortex",,,,,,,,
"holocrina","holocrine",,,,,,"holocrină",,,,,,,,
"homologum","homologous ",,,,,,"omolog",,,,,,,,
"hyalina","hyaline ",,,,,,"hialin",,,,,,,,
"hyalocytus","hyalocyte",,,,,,"hialocit",,,,,,,,
"hyalomerus","hyalomere",,,,,,"hialomer",,,,,,,,
"hyaloplasma","hyaloplasm",,,,,,"hialoplasmă",,,,,,,,
"incrementalis","incremental",,,,,,"incrementală",,,,,,,,
"hyaluronanum","hyaluronan",,,,,,"hialuronan","r",,,,,,,
"hydroxyapatiti","hydroxyapatite ",,,,,,"hidroxiapatitic",,"de hidroxiapatită",,,,,,
"hypercolumna","hypercolumn",,,,,,"hipercoloană",,,,,,,,
"hyperplasia","hyperplasia",,,,,,"hiperplazie",,,,,,,,
"hypersensus","hypersensitivity ",,,,,,"hipersensibilitate",,,,,,,,
"hypertrophia","hypertrophy",,,,,,"hipertrofie",,,,,,,,
"hypertrophicus","hypertrophic",,,,,,"hipertrofic",,,,,,,,
"hypophysiale","hypophysial",,,,,,"hipofizar",,,,,,,,
"hypophysis","pituitary gland",,"hypophysis","*",,,"hipofiză",,"glandă pituitară",,,,,,
"hypoplasia","hypoplasia",,,,,,"hipoplazie",,,,,,,,
"hypothalami","hypothalamic ",,,,,,"hipotalamică",,,,,,,,
"hypothalamohypophysiale","hypothalamohypophysial",,,,,,"hipotalamohipofizar",,,,,,,,
"hypotrophia","hypotrophy",,,,,,"hipotrofie",,,,,,,,
"i","i",,,,,,"i",,,,,,,"i",
"iccosoma","iccosome",,"Immune complex coated body",,,,"icozomi",,"Corp înconjurat de complexe imune",,,,,,
"ii","ii",,,,,,"ii",,,,,,,"ii",
"iii","iii",,,,,,"iii",,,,,,,"iii",
"in","in",,,,,,"în",,,,,,,,
"incipiens","early",,,,,,"precoce",,,,,,,,
"includens","containing",,,,,,"conținând",,,,,,,,
"inclusio","inclusion",,,,,,"incluziune",,,,,,,,
"inclusiones","inclusions",,,,,,"incluziuni",,,,,,,,
"indentatus","indented",,,,,,"indentat",,,,,,,,
"inferius","inferior ",,,,,,"inferior ",,,,,,,,
"inferoposterolateralis","inferoposterolateral ",,,,,,"inferoposterolateral ",,,,,,,,
"infrastriata","infrastriatal",,,,,,"infrastriat",,,,,,,,
"infundibulotuberalis","infundibulotuberal ",,,,,,"infundibulotuberală",,,,,,,,
"infundibulum","infundibulum",,"pocket",,,,"infundibul",,,,,,,,
"inhibitoria","inhibitory",,,,,,"inhibitorie",,,,,,,,
"initiale","initial",,,,,,"inițial",,,,,,,,
"insulinocytus","insulin cell",,,,,,"insulinocit",,"celulă insulinică",,,,,,
"interalveolare","interalveolar",,,,,,"interalveolar",,,,,,,,
"interauricularis","interauricular ",,,,,,"interauricular ",,,,,,,,
"intercalaris","intercalated ",,,,,,"intercalar",,,,,,,,
"intercellulare","intercellular",,,,,,"intercelular",,,,,,,,
"intercellulares","intercellular ",,,,,,"intercelulare",,,,,,,,
"intercellularis","intercellular ",,,,,,"intercelulară",,,,,,,,
"interchromatinea","interchromatin",,,,,,"intercromatinică",,,,,,,,
"interchromatineum","interchromatin ",,,,,,"intercromatinică",,,,,,,,
"intercircularis","intercircular",,,,,,"intercirculară",,,,,,,,
"interdigitans","interdigitating",,,,,,"interdigitată",,,,,,,,
"interdigitatio","interdigitation",,,,,,"interdigitație",,,,,,,,
"intergingivalis","intergingival",,,,,,"intergingivală",,,,,,,,
"interglobulare","interglobular",,,,,,"interglobular",,,,,,,,
"interkinesis","interkinesis",,,,,,"interkineză",,,,,,,,
"interlobare","interlobar",,,,,,"interlobar",,,,,,,,
"interlobulare","interlobular",,,,,,"interlobular",,,,,,,,
"intermedia","intermediate",,,,,,"intermediară",,,,,,,,
"intermedio","intermedio",,,,,,"intermediar",,,,,,,,
"intermembranosum","intermembranous ",,,,,,"intermembranos",,,,,,,,
"intermembranosus","intermembrane ",,,,,,"intermembranos",,,,,,,,
"interneuron","interneuron",,,,,,"interneuron",,,,,,,,
"interneuronalis","interneuronal","*",,,,,"interneuronal",,,,,,,,
"internexini","internexin ",,,,,,"internexinic","r",,,,,,,
"internodale","internodal",,,,,,"internodal",,,,,,,,
"internodularis","internodular",,,,,,"internodular",,,,,,,,
"internuntiale","internuncial",,,,,,"internunțial","r",,,,,,,
"internuntialis","internuncial",,,,,,"internunțial",,,,,,,,
"interordinale","interrow",,"Row-to-row",,,,"interordinală","r",,,,,,,
"interpapillaris","interpapillary ",,,,,,"interpapilară",,,,,,,,
"interphasicus","interphase",,,,,,"interfazic",,,,,,,,
"interphasis","interphase",,,,,,"interfază",,,,,,,,
"interplexiforme","interplexiform",,,,,,"interplexiformă",,,,,,,,
"interradiculare","interradicular",,,,,,"interradicular ",,,,,,,,
"interrupta","discontinuous ",,,,,,"discontinuă",,"întreruptă",,,,,,
"interruptionis","arrest",,"gap",,,,"discontinuă",,"întreruptă",,,,,,
"intersegmentale","intersegmental ",,,,,,"intersegmentar",,,,,,,,
"interstitiale","interstitial","*",,,,,"interstițial",,,,,,,,
"interstitium","interstitium",,,,,,"interstițiu",,,,,,,,
"intersinusoideum","intersinusoidal ",,,,,,"intersinusoidal",,,,,,,,
"interterritorialis","interterritorial",,,,,,"interteritorial",,,,,,,,
"intertubulare","intertubular",,,,,,"intertubular",,,,,,,,
"intertubularis","intertubular",,,,,,"intertubular",,,,,,,,
"intervallum","interval",,,,,,"interval",,,,,,,,
"intervaricosum","intervaricose ",,,,,,"intervaricos",,,,,,,,
"intestino","intestine",,,,,,"intestin",,,,,,,,
"intexta","woven",,,,,,"întrețesut",,,,,,,,
"intimum","inner ",,,,,,"intim",,,,,,,,
"intracellularis","intracellular",,,,,,"intracelular",,,,,,,,
"intracrina","intracrine",,,,,,"intracrină",,,,,,,,
"intraepidermalis","intraepidermal",,,,,,"intraepidermal",,,,,,,,
"intraepithelialis","intra-epithelial ",,,,,,"intraepitelial",,,,,,,,
"intrafascicularis","intrafascicular ",,,,,,"intrafasciculară",,,,,,,,
"intrafissuralis","synaptic cleft ",,,,,,"intrafisurală",,,,,,,,
"intrafusalis","intrafusal",,,,,,"intrafusală",,,,,,,,
"intragemmalis","intragemmal ",,,,,,"intragemală",,,,,,,,
"intralobularis","intralobular",,,,,,"intralobular",,,,,,,,
"intramedullaris","intramedullary ",,,,,,"intramedular",,,,,,,,
"intramembranacei","intramembrane ",,,,,,"intramembranară",,,,,,,,
"intramembranaceum","intramembranaceum",,,,,,"intramembranară",,,,,,,,
"intramuscularis","intramuscular ",,,,,,"intramuscular ",,,,,,,,
"intrapapillaris","intrapapillary",,,,,,"intrapapilar",,,,,,,,
"intraperiodica","intraperiod",,,,,,"intraperiodică",,,,,,,,
"intraperiodicae","intraperiod",,,,,,"intraperiodică",,,,,,,,
"intrarenalia","intrarenal",,,,,,"intrarenale",,,,,,,,
"intratubularis","intratubular",,,,,,"intratubulară",,,,,,,,
"intravagale","intravagal ",,,,,,"intravagal ",,,,,,,,
"invaginans","invaginating",,,,,,"invaginare",,,,,,,,
"invaginata","invaginated",,,,,,"invaginată",,,,,,,,
"invaginatio","invagination",,,,,,"invaginație",,,,,,,,
"inversum","inverted",,,,,,"inversat",,,,,,,,
"involutio","involution",,,,,,"involuție",,,,,,,,
"iridicum","of iris",,,,,,"al irisului",,,,,,,,
"iridoconealis","iridocorneal",,,,,,"iridocorneal",,,,,,,,
"irroratio","film",,,,,,"film",,,,,,,,
"isocortice","isocortex",,,,,,"izocortex",,,,,,,,
"isogenica","isogenous",,,,,,"izogenic",,,,,,,,
"isotropicus","isotropic ",,,,,,"izotropic",,,,,,,,
"iv","iv",,,,,,"iv",,,,,,,"iv",
"jugulare","jugular",,,,,,"jugular",,,,,,,,
"junctionale","junctional ",,,,,,"joncțional",,,,,,,,
"junctionalis","junctionalis",,,,,,"joncțional",,,,,,,,
"junctiones","junctions",,,,,,"joncțiuni",,,,,,,,
