"la","en","s1","en_alt","s2","en_alt2","s3","ro","s4","ro_alt1","s5","ro_alt2","s6","ro_alt3","es","calc"
"arachnoidearum","arachnoid",,,,,,"arahnoidian",,,,,,,,
"arachnoidei","arachnoid ",,,,,,"arahnoidian",,,,,,,,
"arenaceum","sandy",,,,,,"nisipos",,,,,,,,
"argyrophilica","argyrophilic",,,,,,"argirofil",,,,,,,,
"arteria","artery",,,,,,"arteră",,,,,,,,
"arteriale","arterial ",,,,,,"arterial ",,,,,,,,
"arteriolare","arteriolar ",,,,,,"arteriolare",,,,,,,,
"arteriolarum","of arteriole",,,,,,"a arteriolei",,,,,,,,
"arteriosa","arterial",,,,,,"arteriale",,,,,,,,
"artificialis","artificial",,,,,,"artificial",,,,,,,,
"aster","aster",,,,,,"aster",,,,,,,,
"astralis","astral",,,,,,"astral",,,,,,,,
"astrocyti","of astrocyte",,,,,,"al astrocitului",,"astrocitar",,,,,,
"astrocytus","astrocyte",,,,,,"astrocit",,,,,,,,
"astroglia","astroglia",,,,,,"astroglie",,,,,,,,
"asymmetrica","asymmetric",,,,,,"asimetrică",,,,,,,,
"atque","and ",,,,,,"și",,,,,,,,
"atresia","atresia",,,,,,"atrezie",,,,,,,,
"atreticus","atretic",,,,,,"atretic",,,,,,,,
"atriorum","atrial ",,,,,,"atrial ",,,,,,,,
"atrophia","atrophy",,,,,,"atrofie",,,,,,,,
"attenuatum","thin",,,,,,"scurtă",,,,,,,,
"attenuatus","attenuated",,,,,,"atenuat",,,,,,,,
"auditoria","auditory",,,,,,"auditive",,,,,,,,
"autocrina","autocrine",,,,,,"autocrină",,,,,,,,
"autodesmosoma","autodesmosome",,,,,,"autodesmozom",,,,,,,,
"autolysosoma","autolysosome",,,,,,"autolizozom",,,,,,,,
"autophagolysosoma","autophagolysosome",,,,,,"autofagolizozom",,,,,,,,
"autophagosoma","autophagosome",,,,,,"autofagozom",,,,,,,,
"autosoma","autosome",,,,,,"autozom",,,,,,,,
"axoaxonalis","axo-axonal",,,,,,"axo-axonală",,,,,,,,
"axodendritica","axodendritic",,,,,,"axo-dendritică",,,,,,,,
"axolemma","axolemma",,,,,,"axolemă",,,,,,,,
"axolemmalis","axolemmal",,,,,,"axolemal",,,,,,,,
"axon","axon",,,,,,"axon",,,,,,,,
"axonales","axon",,,,,,"axonale",,,,,,,,
"axonalis","axon",,,,,,"axonal",,,,,,,,
"axonema","axoneme",,,,,,"axonemă",,,,,,,,
"axonemalis","axonemal ",,,,,,"axonemal ",,,,,,,,
"axoni","axonal ",,,,,,"axonal ",,,,,,,,
"axonis","axonal ",,"of axon",,,,"axonal ",,"al axonului",,,,,,
"axonum","axon",,,,,,"axon",,,,,,,,
"axoplasma","axoplasm",,,,,,"axoplasmă",,,,,,,,
"axosomatica","axosomatic",,,,,,"axosomatică",,,,,,,,
"azurophilum","azurophilic",,,,,,"azurofilă",,,,,,,,
"bacilliferi","bacillary",,,,,,"bacilifer",,,,,,,,
"bacilliferum","rod",,,,,,"cu bastonașe",,,,,,,,
"bacilliformis","bacilliform",,,,,,"baciliform",,,,,,,,
"bacillorum","of rods",,,,,,"de bastonașe",,,,,,,,
"bacillotopicum","rod",,"rod related",,,,"bastonaș",,,,,,,,
"bacillum","rod",,,,,,"bastonaș",,,,,,,,
"basalis","basal",,,,,,"bazală",,,,,,,,
"basolaterale","basilateral",,,,,,"bazolateral",,,,,,,,
"basolateralis","basolateralis",,,,,,"bazolateral",,,,,,,,
"basophilum","basophil",,,,,,"bazofil",,,,,,,,
"basophilus","basophil",,,,,,"bazofilă",,,,,,,,
"beta","beta",,,,,,"beta",,,,,,,,
"bifasciculare","double dendritic ",,"bifascicular",,,,"bifascicular",,"dublu-dendritic",,,,,,
"bifissum","cleft",,,,,,"bifurcat",,,,,,,,
"bilirubini","bilirubin",,,,,,"bilirubinică",,"de bilirubină",,,,,,
"binucleata","binucleate",,,,,,"binucleată",,,,,,,,
"bipolare","bipolar",,,,,,"bipolar",,,,,,,,
"bipolaris","bipolar",,,,,,"bipolar",,,,,,,,
"bistratificatum","bistratified",,,,,,"bistratificată",,,,,,,,
"bistratificatus","bistratified",,,,,,"bistratificat",,,,,,,,
"bivalens","bivalent",,,,,,"bivalent",,,,,,,,
"blastos","blast",,,,,,"blastice",,,,,,,,
"branchiale","branchial",,,,,,"brahial",,,,,,,,
"breviaxonale","short axon",,,,,,"cu axon scurt",,"scurt-axonal",,,,,,
"breviaxonicum","with short axon",,,,,,"cu axon scurt",,"scurt-axonal",,,,,,
"bronchiolaris","bronchiolar",,,,,,"bronhiolară",,,,,,,,
"broncho","broncho",,,,,,"bronho",,,,,,,,
"bulbulus","bouton",,,,,,"bulbul",,,,,,,,
"Bulbus","bulb",,,,,,"bulb",,,,,,,,
"c","c",,,,,,"c",,,,,,,"c",
"caeruleum","blue",,,,,,"cenușiu",,"gri",,,,,,
"calcificata","calcified",,,,,,"calcificat",,,,,,,,
"calcificationis","calcification",,,,,,"de calcificare",,,,,,,,
"calcospherula","calcospherite",,,,,,"calcosferit",,,,,,,,
"caldesmonum","caldesmon",,,,,,"caldesmon",,,,,,,,
"caliciformis","goblet",,,,,,"caliciformă",,"cu coșuleț",,,,,,
"calmodulinum","calmodulin",,,,,,"calmodulină",,,,,,,,
"calponinum","calponin",,,,,,"calponină",,,,,,,,
