"","id","upd","term_id","lang","part_speech","gender","term","source","description","wiki","email","pages"
"77",77,NA,"12916","la",NA,NA,"mediana",NA,NA,NA,NA,NA
"78",78,NA,"13611","la",NA,NA,"endoneurium",NA,NA,NA,NA,NA
"79",79,NA,"10607","la",NA,NA,"endothelium",NA,NA,NA,NA,NA
"80",80,NA,"10980","la",NA,NA,"granulocytus",NA,NA,NA,NA,NA
"81",81,NA,"10980","la",NA,NA,"acidophilus",NA,NA,NA,NA,NA
"82",82,NA,"10980","la",NA,NA,"eosinophilus",NA,NA,NA,NA,NA
"83",83,NA,"13615","la",NA,NA,"epineurium",NA,NA,NA,NA,NA
"84",84,NA,"10606","la",NA,NA,"epithelium",NA,NA,NA,NA,NA
"85",85,NA,"10606","la",NA,NA,"simplex",NA,NA,NA,NA,NA
"86",86,NA,"10606","la",NA,NA,"squamosum",NA,NA,NA,NA,NA
"87",87,NA,"11874","la",NA,NA,"oesophagus",NA,NA,NA,NA,NA
"88",88,NA,"10762","la",NA,NA,"fasciculus",NA,NA,NA,NA,NA
"89",89,NA,"10762","la",NA,NA,"collageni",NA,NA,NA,NA,NA
"90",90,NA,"10763","la",NA,NA,"fibra",NA,NA,NA,NA,NA
"91",91,NA,"10763","la",NA,NA,"collageni",NA,NA,NA,NA,NA
"92",92,NA,"10769","la",NA,NA,"fibra",NA,NA,NA,NA,NA
"93",93,NA,"10769","la",NA,NA,"elastica",NA,NA,NA,NA,NA
"94",94,NA,"11210","la",NA,NA,"neurofibra",NA,NA,NA,NA,NA
"95",95,NA,"11210","la",NA,NA,"afferens",NA,NA,NA,NA,NA
"96",96,NA,"12924","la",NA,NA,"neurofibra",NA,NA,NA,NA,NA
"97",97,NA,"12924","la",NA,NA,"non",NA,NA,NA,NA,NA
"98",98,NA,"12924","la",NA,NA,"myelinata",NA,NA,NA,NA,NA
"99",99,NA,"12948","la",NA,NA,"neurofibra",NA,NA,NA,NA,NA
"100",100,NA,"12948","la",NA,NA,"non",NA,NA,NA,NA,NA
"101",101,NA,"12948","la",NA,NA,"myelinata",NA,NA,NA,NA,NA
"102",102,NA,"11211","la",NA,NA,"neurofibra",NA,NA,NA,NA,NA
"103",103,NA,"11211","la",NA,NA,"efferens",NA,NA,NA,NA,NA
"104",104,NA,"10735","la",NA,NA,"fibroblastus",NA,NA,NA,NA,NA
"105",105,NA,"12831","la",NA,NA,"fibroblastus",NA,NA,NA,NA,NA
"106",106,NA,"12000","la",NA,NA,"hepar",NA,NA,NA,NA,NA
"107",107,NA,"10365","la",NA,NA,"microfilamentum",NA,NA,NA,NA,NA
"108",108,NA,"10365","la",NA,NA,"filamentum",NA,NA,NA,NA,NA
"109",109,NA,"10365","la",NA,NA,"actini",NA,NA,NA,NA,NA
"110",110,NA,"13672","la",NA,NA,"fusus",NA,NA,NA,NA,NA
"111",111,NA,"13672","la",NA,NA,"neuromuscularis",NA,NA,NA,NA,NA
"112",112,NA,"13618","la",NA,NA,"ganglion",NA,NA,NA,NA,NA
"113",113,NA,"13626","la",NA,NA,"ganglion",NA,NA,NA,NA,NA
"114",114,NA,"13626","la",NA,NA,"autonomicum",NA,NA,NA,NA,NA
"115",115,NA,"12944","la",NA,NA,"glandula",NA,NA,NA,NA,NA
"116",116,NA,"12944","la",NA,NA,"pinealis",NA,NA,NA,NA,NA
"117",117,NA,"12944","la",NA,NA,"corpus",NA,NA,NA,NA,NA
"118",118,NA,"12944","la",NA,NA,"pineale",NA,NA,NA,NA,NA
"119",119,NA,"12914","la",NA,NA,"infundibulum",NA,NA,NA,NA,NA
"120",120,NA,"10129","la",NA,NA,"nexus",NA,NA,NA,NA,NA
"121",121,NA,"10129","la",NA,NA,"macula",NA,NA,NA,NA,NA
"122",122,NA,"10129","la",NA,NA,"communicans",NA,NA,NA,NA,NA
"123",123,NA,"10129","la",NA,NA,"synapsis",NA,NA,NA,NA,NA
"124",124,NA,"10129","la",NA,NA,"non",NA,NA,NA,NA,NA
"125",125,NA,"10129","la",NA,NA,"vesicularis",NA,NA,NA,NA,NA
"126",126,NA,"10129","la",NA,NA,"synapsis",NA,NA,NA,NA,NA
"127",127,NA,"10129","la",NA,NA,"electrica",NA,NA,NA,NA,NA
"128",128,NA,"10112","la",NA,NA,"junctio",NA,NA,NA,NA,NA
"129",129,NA,"10112","la",NA,NA,"occludens",NA,NA,NA,NA,NA
"130",130,NA,"10112","la",NA,NA,"zonula",NA,NA,NA,NA,NA
"131",131,NA,"10112","la",NA,NA,"occludens",NA,NA,NA,NA,NA
"132",132,NA,"12628","la",NA,NA,"zonula",NA,NA,NA,NA,NA
"133",133,NA,"12628","la",NA,NA,"occludens",NA,NA,NA,NA,NA
"134",134,NA,"11766","la",NA,NA,"lingua",NA,NA,NA,NA,NA
"135",135,NA,"10957","la",NA,NA,"lymphocytus",NA,NA,NA,NA,NA
"136",136,NA,"10742","la",NA,NA,"macrophagocytus",NA,NA,NA,NA,NA
"137",137,NA,"13368","la",NA,NA,"medulla",NA,NA,NA,NA,NA
"138",138,NA,"13368","la",NA,NA,"spinalis",NA,NA,NA,NA,NA
"139",139,NA,"10747","la",NA,NA,"mastocytus",NA,NA,NA,NA,NA
"140",140,NA,"10754","la",NA,NA,"matrix",NA,NA,NA,NA,NA
"141",141,NA,"10754","la",NA,NA,"extracellularis",NA,NA,NA,NA,NA
"142",142,NA,"10753","la",NA,NA,"melanocytus",NA,NA,NA,NA,NA
"143",143,NA,"13746","la",NA,NA,"melanocytus",NA,NA,NA,NA,NA
"144",144,NA,"14091","la",NA,NA,"melanocytus",NA,NA,NA,NA,NA
"145",145,NA,"14146","la",NA,NA,"melanocytus",NA,NA,NA,NA,NA
"146",146,NA,"14146","la",NA,NA,"follicularis",NA,NA,NA,NA,NA
"147",147,NA,"10532","la",NA,NA,"membrana",NA,NA,NA,NA,NA
"148",148,NA,"10532","la",NA,NA,"basalis",NA,NA,NA,NA,NA
"149",149,NA,"13325","la",NA,NA,"meninges",NA,NA,NA,NA,NA
"150",150,NA,"11378","la",NA,NA,"mesaxon",NA,NA,NA,NA,NA
"151",151,NA,"10354","la",NA,NA,"microtubulus",NA,NA,NA,NA,NA
"152",152,NA,"10078","la",NA,NA,"microvillus",NA,NA,NA,NA,NA
"153",153,NA,"10223","la",NA,NA,"mitochondrion",NA,NA,NA,NA,NA
"154",154,NA,"10970","la",NA,NA,"monocytus",NA,NA,NA,NA,NA
"155",155,NA,"11881","la",NA,NA,"lamina",NA,NA,NA,NA,NA
"156",156,NA,"11881","la",NA,NA,"muscularis",NA,NA,NA,NA,NA
"157",157,NA,"11881","la",NA,NA,"mucosae",NA,NA,NA,NA,NA
"158",158,NA,"11913","la",NA,NA,"lamina",NA,NA,NA,NA,NA
"159",159,NA,"11913","la",NA,NA,"muscularis",NA,NA,NA,NA,NA
"160",160,NA,"11913","la",NA,NA,"mucosae",NA,NA,NA,NA,NA
"161",161,NA,"11941","la",NA,NA,"lamina",NA,NA,NA,NA,NA
"162",162,NA,"11941","la",NA,NA,"muscularis",NA,NA,NA,NA,NA
"163",163,NA,"11941","la",NA,NA,"mucosae",NA,NA,NA,NA,NA
"164",164,NA,"11968","la",NA,NA,"lamina",NA,NA,NA,NA,NA
"165",165,NA,"11968","la",NA,NA,"muscularis",NA,NA,NA,NA,NA
"166",166,NA,"11968","la",NA,NA,"mucosae",NA,NA,NA,NA,NA
"167",167,NA,"13603","la",NA,NA,"nervus",NA,NA,NA,NA,NA
"168",168,NA,"11201","la",NA,NA,"neurofibrilla",NA,NA,NA,NA,NA
"169",169,NA,"10249","la",NA,NA,"neurofilamentum",NA,NA,NA,NA,NA
"170",170,NA,"11195","la",NA,NA,"neuron",NA,NA,NA,NA,NA
"171",171,NA,"11249","la",NA,NA,"neuron",NA,NA,NA,NA,NA
"172",172,NA,"11249","la",NA,NA,"bipolare",NA,NA,NA,NA,NA
"173",173,NA,"11254","la",NA,NA,"motoneuron",NA,NA,NA,NA,NA
"174",174,NA,"11254","la",NA,NA,"neuron",NA,NA,NA,NA,NA
"175",175,NA,"11254","la",NA,NA,"motorium",NA,NA,NA,NA,NA
"176",176,NA,"11250","la",NA,NA,"neuron",NA,NA,NA,NA,NA
"177",177,NA,"11250","la",NA,NA,"multipolare",NA,NA,NA,NA,NA
"178",178,NA,"11310","la",NA,NA,"neurotransmittens",NA,NA,NA,NA,NA
"179",179,NA,"10973","la",NA,NA,"granulocytus",NA,NA,NA,NA,NA
"180",180,NA,"10973","la",NA,NA,"neutrophilus",NA,NA,NA,NA,NA
"181",181,NA,"10973","la",NA,NA,"neutrophilus",NA,NA,NA,NA,NA
"182",182,NA,"10973","la",NA,NA,"granulocytus",NA,NA,NA,NA,NA
"183",183,NA,"10973","la",NA,NA,"neutrophilus",NA,NA,NA,NA,NA
"184",184,NA,"10973","la",NA,NA,"segmentonuclearis",NA,NA,NA,NA,NA
